,Episode_no,Step_no,Old_State0,Old_State1,Old_State2,Old_State3,New_State0,New_State1,New_State2,New_State3,Action0,Action1,Reward
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1.0,0.0,-0.02351742766297237,-0.044860349310762236,0.04765942803022713,-0.041349026073789374,-0.02441463464918761,-0.2406321795040755,0.04683244750875135,0.2659818401098492,1.0,0.0,1.0
2,1.0,1.0,-0.02441463464918761,-0.2406321795040755,0.04683244750875135,0.2659818401098492,-0.029227278239269124,-0.04620884022969013,0.05215208431094833,-0.011569701899857343,0.0,1.0,1.0
3,1.0,2.0,-0.029227278239269124,-0.04620884022969013,0.05215208431094833,-0.011569701899857343,-0.030151455043862924,0.14812789560765954,0.05192069027295118,-0.2873527085807397,0.0,1.0,1.0
4,1.0,3.0,-0.030151455043862924,0.14812789560765954,0.05192069027295118,-0.2873527085807397,-0.027188897131709737,-0.04769456467643224,0.04617363610133639,0.021242978843665328,1.0,0.0,1.0
5,1.0,4.0,-0.027188897131709737,-0.04769456467643224,0.04617363610133639,0.021242978843665328,-0.02814278842523838,0.1467358404951431,0.046598495678209687,-0.2565215633965846,0.0,1.0,1.0
6,1.0,5.0,-0.02814278842523838,0.1467358404951431,0.046598495678209687,-0.2565215633965846,-0.025208071615335517,0.3411625895444441,0.041468064410278005,-0.534150107485218,0.0,1.0,1.0
7,1.0,6.0,-0.025208071615335517,0.3411625895444441,0.041468064410278005,-0.534150107485218,-0.018384819824446636,0.5356775885038416,0.03078506226057365,-0.8134836587032275,0.0,1.0,1.0
8,1.0,7.0,-0.018384819824446636,0.5356775885038416,0.03078506226057365,-0.8134836587032275,-0.0076712680543698,0.7303646915563442,0.0145153890865091,-1.0963265637891328,0.0,1.0,1.0
9,1.0,8.0,-0.0076712680543698,0.7303646915563442,0.0145153890865091,-1.0963265637891328,0.006936025776757079,0.9252925155253364,-0.007411142189273558,-1.3844201227885318,0.0,1.0,1.0
10,1.0,9.0,0.006936025776757079,0.9252925155253364,-0.007411142189273558,-1.3844201227885318,0.025441876087263803,1.1205061071847626,-0.035099544645044195,-1.6794113245883056,0.0,1.0,1.0
11,1.0,10.0,0.025441876087263803,1.1205061071847626,-0.035099544645044195,-1.6794113245883056,0.04785199823095905,1.3160168456931949,-0.06868777113681031,-1.982813949599604,0.0,1.0,1.0
12,1.0,11.0,0.04785199823095905,1.3160168456931949,-0.06868777113681031,-1.982813949599604,0.07417233514482294,1.1216806096985414,-0.10834405012880237,-1.7121753145491794,1.0,0.0,1.0
13,1.0,12.0,0.07417233514482294,1.1216806096985414,-0.10834405012880237,-1.7121753145491794,0.09660594733879377,0.9279568180972516,-0.14258755641978602,-1.4550843394278343,1.0,0.0,1.0
14,1.0,13.0,0.09660594733879377,0.9279568180972516,-0.14258755641978602,-1.4550843394278343,0.1151650837007388,1.1245121137830405,-0.17168924320834267,-1.7887040380822528,0.0,1.0,1.0
15,1.0,14.0,0.1151650837007388,1.1245121137830405,-0.17168924320834267,-1.7887040380822528,0.13765532597639962,0.9316828850045474,-0.20746332396998773,-1.5539417998507004,1.0,0.0,1.0
16,1.0,15.0,0.13765532597639962,0.9316828850045474,-0.20746332396998773,-1.5539417998507004,0.15628898367649058,0.7395627887427529,-0.2385421599670017,-1.33249884387858,1.0,0.0,0.0
17,2.0,0.0,0.013890707864852192,-0.03387660950763758,0.04075216010092191,0.00012109308475442837,0.013213175674699441,-0.2295585938641541,0.040754581962616984,0.3053781899768869,1.0,0.0,1.0
18,2.0,1.0,0.013213175674699441,-0.2295585938641541,0.040754581962616984,0.3053781899768869,0.00862200379741636,-0.4252369035833135,0.04686214576215473,0.6106304619635783,1.0,0.0,1.0
19,2.0,2.0,0.00862200379741636,-0.4252369035833135,0.04686214576215473,0.6106304619635783,0.00011726572575009034,-0.6209814713353071,0.0590747550014263,0.9176974010869839,1.0,0.0,1.0
20,2.0,3.0,0.00011726572575009034,-0.6209814713353071,0.0590747550014263,0.9176974010869839,-0.012302363700956052,-0.4267058108196372,0.07742870302316597,0.6441501315999104,0.0,1.0,1.0
21,2.0,4.0,-0.012302363700956052,-0.4267058108196372,0.07742870302316597,0.6441501315999104,-0.0208364799173488,-0.6228166006992225,0.0903117056551642,0.9601762633871479,1.0,0.0,1.0
22,2.0,5.0,-0.0208364799173488,-0.6228166006992225,0.0903117056551642,0.9601762633871479,-0.033292811931333245,-0.4290170442655056,0.10951523092290716,0.6971771874976908,0.0,1.0,1.0
23,2.0,6.0,-0.033292811931333245,-0.4290170442655056,0.10951523092290716,0.6971771874976908,-0.04187315281664336,-0.2355704323328913,0.12345877467286095,0.4408787759795262,0.0,1.0,1.0
